Date	Year	MonthNo	Month	QuarterNo	Quarter	Day
T:1996-02-14T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:14
T:1996-02-15T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:15
T:1996-02-16T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:16
T:1996-02-17T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:17
T:1996-02-18T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:18
T:1996-02-19T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:19
T:1996-02-20T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:20
T:1996-02-21T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:21
T:1996-02-22T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:22
T:1996-02-23T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:23
T:1996-02-24T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:24
T:1996-02-25T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:25
T:1996-02-26T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:26
T:1996-02-27T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:27
T:1996-02-28T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:28
T:1996-02-29T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:29
T:1996-03-01T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:1
T:1996-03-02T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:2
T:1996-03-03T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:3
T:1996-03-04T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:4
T:1996-03-05T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:5
T:1996-03-06T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:6
T:1996-03-07T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:7
T:1996-03-08T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:8
T:1996-03-09T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:9
T:1996-03-10T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:10
T:1996-03-11T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:11
T:1996-03-12T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:12
T:1996-03-13T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:13
T:1996-03-14T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:14
T:1996-03-15T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:15
T:1996-03-16T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:16
T:1996-03-17T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:17
T:1996-03-18T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:18
T:1996-03-19T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:19
T:1996-03-20T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:20
T:1996-03-21T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:21
T:1996-03-22T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:22
T:1996-03-23T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:23
T:1996-03-24T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:24
T:1996-03-25T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:25
T:1996-03-26T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:26
T:1996-03-27T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:27
T:1996-03-28T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:28
T:1996-03-29T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:29
T:1996-03-30T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:30
T:1996-03-31T00:00:00	I:1996	I:3	S:March	I:1	S:Qtr 1	I:31
T:1996-04-01T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:1
T:1996-04-02T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:2
T:1996-04-03T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:3
T:1996-04-04T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:4
T:1996-04-05T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:5
T:1996-04-06T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:6
T:1996-04-07T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:7
T:1996-04-08T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:8
T:1996-04-09T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:9
T:1996-04-10T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:10
T:1996-04-11T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:11
T:1996-04-12T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:12
T:1996-04-13T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:13
T:1996-04-14T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:14
T:1996-04-15T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:15
T:1996-04-16T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:16
T:1996-04-17T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:17
T:1996-04-18T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:18
T:1996-04-19T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:19
T:1996-04-20T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:20
T:1996-04-21T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:21
T:1996-04-22T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:22
T:1996-04-23T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:23
T:1996-04-24T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:24
T:1996-04-25T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:25
T:1996-04-26T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:26
T:1996-04-27T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:27
T:1996-04-28T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:28
T:1996-04-29T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:29
T:1996-04-30T00:00:00	I:1996	I:4	S:April	I:2	S:Qtr 2	I:30
T:1996-05-01T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:1
T:1996-05-02T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:2
T:1996-05-03T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:3
T:1996-05-04T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:4
T:1996-05-05T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:5
T:1996-05-06T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:6
T:1996-05-07T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:7
T:1996-05-08T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:8
T:1996-05-09T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:9
T:1996-05-10T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:10
T:1996-05-11T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:11
T:1996-05-12T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:12
T:1996-05-13T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:13
T:1996-05-14T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:14
T:1996-05-15T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:15
T:1996-05-16T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:16
T:1996-05-17T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:17
T:1996-05-18T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:18
T:1996-05-19T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:19
T:1996-05-20T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:20
T:1996-05-21T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:21
T:1996-05-22T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:22
T:1996-05-23T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:23
T:1996-05-24T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:24
T:1996-05-25T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:25
T:1996-05-26T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:26
T:1996-05-27T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:27
T:1996-05-28T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:28
T:1996-05-29T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:29
T:1996-05-30T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:30
T:1996-05-31T00:00:00	I:1996	I:5	S:May	I:2	S:Qtr 2	I:31
T:1996-06-01T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:1
T:1996-06-02T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:2
T:1996-06-03T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:3
T:1996-06-04T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:4
T:1996-06-05T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:5
T:1996-06-06T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:6
T:1996-06-07T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:7
T:1996-06-08T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:8
T:1996-06-09T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:9
T:1996-06-10T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:10
T:1996-06-11T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:11
T:1996-06-12T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:12
T:1996-06-13T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:13
T:1996-06-14T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:14
T:1996-06-15T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:15
T:1996-06-16T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:16
T:1996-06-17T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:17
T:1996-06-18T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:18
T:1996-06-19T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:19
T:1996-06-20T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:20
T:1996-06-21T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:21
T:1996-06-22T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:22
T:1996-06-23T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:23
T:1996-06-24T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:24
T:1996-06-25T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:25
T:1996-06-26T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:26
T:1996-06-27T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:27
T:1996-06-28T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:28
T:1996-06-29T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:29
T:1996-06-30T00:00:00	I:1996	I:6	S:June	I:2	S:Qtr 2	I:30
T:1996-07-01T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:1
T:1996-07-02T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:2
T:1996-07-03T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:3
T:1996-07-04T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:4
T:1996-07-05T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:5
T:1996-07-06T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:6
T:1996-07-07T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:7
T:1996-07-08T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:8
T:1996-07-09T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:9
T:1996-07-10T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:10
T:1996-07-11T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:11
T:1996-07-12T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:12
T:1996-07-13T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:13
T:1996-07-14T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:14
T:1996-07-15T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:15
T:1996-07-16T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:16
T:1996-07-17T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:17
T:1996-07-18T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:18
T:1996-07-19T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:19
T:1996-07-20T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:20
T:1996-07-21T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:21
T:1996-07-22T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:22
T:1996-07-23T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:23
T:1996-07-24T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:24
T:1996-07-25T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:25
T:1996-07-26T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:26
T:1996-07-27T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:27
T:1996-07-28T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:28
T:1996-07-29T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:29
T:1996-07-30T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:30
T:1996-07-31T00:00:00	I:1996	I:7	S:July	I:3	S:Qtr 3	I:31
T:1996-08-01T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:1
T:1996-08-02T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:2
T:1996-08-03T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:3
T:1996-08-04T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:4
T:1996-08-05T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:5
T:1996-08-06T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:6
T:1996-08-07T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:7
T:1996-08-08T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:8
T:1996-08-09T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:9
T:1996-08-10T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:10
T:1996-08-11T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:11
T:1996-08-12T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:12
T:1996-08-13T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:13
T:1996-08-14T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:14
T:1996-08-15T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:15
T:1996-08-16T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:16
T:1996-08-17T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:17
T:1996-08-18T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:18
T:1996-08-19T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:19
T:1996-08-20T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:20
T:1996-08-21T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:21
T:1996-08-22T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:22
T:1996-08-23T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:23
T:1996-08-24T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:24
T:1996-08-25T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:25
T:1996-08-26T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:26
T:1996-08-27T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:27
T:1996-08-28T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:28
T:1996-08-29T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:29
T:1996-08-30T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:30
T:1996-08-31T00:00:00	I:1996	I:8	S:August	I:3	S:Qtr 3	I:31
T:1996-09-01T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:1
T:1996-09-02T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:2
T:1996-09-03T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:3
T:1996-09-04T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:4
T:1996-09-05T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:5
T:1996-09-06T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:6
T:1996-09-07T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:7
T:1996-09-08T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:8
T:1996-09-09T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:9
T:1996-09-10T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:10
T:1996-09-11T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:11
T:1996-09-12T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:12
T:1996-09-13T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:13
T:1996-09-14T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:14
T:1996-09-15T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:15
T:1996-09-16T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:16
T:1996-09-17T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:17
T:1996-09-18T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:18
T:1996-09-19T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:19
T:1996-09-20T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:20
T:1996-09-21T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:21
T:1996-09-22T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:22
T:1996-09-23T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:23
T:1996-09-24T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:24
T:1996-09-25T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:25
T:1996-09-26T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:26
T:1996-09-27T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:27
T:1996-09-28T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:28
T:1996-09-29T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:29
T:1996-09-30T00:00:00	I:1996	I:9	S:September	I:3	S:Qtr 3	I:30
T:1996-10-01T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:1
T:1996-10-02T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:2
T:1996-10-03T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:3
T:1996-10-04T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:4
T:1996-10-05T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:5
T:1996-10-06T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:6
T:1996-10-07T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:7
T:1996-10-08T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:8
T:1996-10-09T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:9
T:1996-10-10T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:10
T:1996-10-11T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:11
T:1996-10-12T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:12
T:1996-10-13T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:13
T:1996-10-14T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:14
T:1996-10-15T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:15
T:1996-10-16T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:16
T:1996-10-17T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:17
T:1996-10-18T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:18
T:1996-10-19T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:19
T:1996-10-20T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:20
T:1996-10-21T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:21
T:1996-10-22T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:22
T:1996-10-23T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:23
T:1996-10-24T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:24
T:1996-10-25T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:25
T:1996-10-26T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:26
T:1996-10-27T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:27
T:1996-10-28T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:28
T:1996-10-29T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:29
T:1996-10-30T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:30
T:1996-10-31T00:00:00	I:1996	I:10	S:October	I:4	S:Qtr 4	I:31
T:1996-11-01T00:00:00	I:1996	I:11	S:November	I:4	S:Qtr 4	I:1
T:1996-11-02T00:00:00	I:1996	I:11	S:November	I:4	S:Qtr 4	I:2
T:1996-11-03T00:00:00	I:1996	I:11	S:November	I:4	S:Qtr 4	I:3
T:1996-11-04T00:00:00	I:1996	I:11	S:November	I:4	S:Qtr 4	I:4
