CustomerID	CompanyName	ContactName	ContactTitle	Address	City	Region	PostalCode	Country	Phone	Fax
S:GROSR	S:GROSELLA-Restaurante	S:Manuel Pereira	S:Owner	S:5ª Ave. Los Palos Grandes	S:Caracas	S:DF	S:1081	S:Venezuela	S:(2) 283-2951	S:(2) 283-3397
S:HANAR	S:Hanari Carnes	S:Mario Pontes	S:Accounting Manager	S:Rua do Paço, 67	S:Rio de Janeiro	S:RJ	S:05454-876	S:Brazil	S:(21) 555-0091	S:(21) 555-8765
S:HILAA	S:HILARION-Abastos	S:Carlos Hernández	S:Sales Representative	S:Carrera 22 con Ave. Carlos Soublette #8-35	S:San Cristóbal	S:Táchira	S:5022	S:Venezuela	S:(5) 555-1340	S:(5) 555-1948
S:HUNGC	S:Hungry Coyote Import Store	S:Yoshi Latimer	S:Sales Representative	S:City Center Plaza 516 Main St.	S:Elgin	S:OR	S:97827	S:USA	S:(503) 555-6874	S:(503) 555-2376
S:HUNGO	S:Hungry Owl All-Night Grocers	S:Patricia McKenna	S:Sales Associate	S:8 Johnstown Road	S:Cork	S:Co. Cork	~N~	S:Ireland	S:2967 542	S:2967 3333
S:ISLAT	S:Island Trading	S:Helen Bennett	S:Marketing Manager	S:Garden House Crowther Way	S:Cowes	S:Isle of Wight	S:PO31 7PJ	S:UK	S:(198) 555-8888	~N~
S:KOENE	S:Königlich Essen	S:Philip Cramer	S:Sales Associate	S:Maubelstr. 90	S:Brandenburg	~N~	S:14776	S:Germany	S:0555-09876	~N~
S:LACOR	S:La corne d'abondance	S:Daniel Tonini	S:Sales Representative	S:67, avenue de l'Europe	S:Versailles	~N~	S:78000	S:France	S:30.59.84.10	S:30.59.85.11
S:LAMAI	S:La maison d'Asie	S:Annette Roulet	S:Sales Manager	S:1 rue Alsace-Lorraine	S:Toulouse	~N~	S:31000	S:France	S:61.77.61.10	S:61.77.61.11
S:LAUGB	S:Laughing Bacchus Wine Cellars	S:Yoshi Tannamuri	S:Marketing Assistant	S:1900 Oak St.	S:Vancouver	S:BC	S:V3F 2K1	S:Canada	S:(604) 555-3392	S:(604) 555-7293
S:LAZYK	S:Lazy K Kountry Store	S:John Steel	S:Marketing Manager	S:12 Orchestra Terrace	S:Walla Walla	S:WA	S:99362	S:USA	S:(509) 555-7969	S:(509) 555-6221
S:LEHMS	S:Lehmanns Marktstand	S:Renate Messner	S:Sales Representative	S:Magazinweg 7	S:Frankfurt a.M.	~N~	S:60528	S:Germany	S:069-0245984	S:069-0245874
S:LETSS	S:Let's Stop N Shop	S:Jaime Yorres	S:Owner	S:87 Polk St. Suite 5	S:San Francisco	S:CA	S:94117	S:USA	S:(415) 555-5938	~N~
S:LILAS	S:LILA-Supermercado	S:Carlos González	S:Accounting Manager	S:Carrera 52 con Ave. Bolívar #65-98 Llano Largo	S:Barquisimeto	S:Lara	S:3508	S:Venezuela	S:(9) 331-6954	S:(9) 331-7256
S:LINOD	S:LINO-Delicateses	S:Felipe Izquierdo	S:Owner	S:Ave. 5 de Mayo Porlamar	S:I. de Margarita	S:Nueva Esparta	S:4980	S:Venezuela	S:(8) 34-56-12	S:(8) 34-93-93
S:LONEP	S:Lonesome Pine Restaurant	S:Fran Wilson	S:Sales Manager	S:89 Chiaroscuro Rd.	S:Portland	S:OR	S:97219	S:USA	S:(503) 555-9573	S:(503) 555-9646
S:MAGAA	S:Magazzini Alimentari Riuniti	S:Giovanni Rovelli	S:Marketing Manager	S:Via Ludovico il Moro 22	S:Bergamo	~N~	S:24100	S:Italy	S:035-640230	S:035-640231
S:MAISD	S:Maison Dewey	S:Catherine Dewey	S:Sales Agent	S:Rue Joseph-Bens 532	S:Bruxelles	~N~	S:B-1180	S:Belgium	S:(02) 201 24 67	S:(02) 201 24 68
S:MEREP	S:Mère Paillarde	S:Jean Fresnière	S:Marketing Assistant	S:43 rue St. Laurent	S:Montréal	S:Québec	S:H1J 1C3	S:Canada	S:(514) 555-8054	S:(514) 555-8055
S:MORGK	S:Morgenstern Gesundkost	S:Alexander Feuer	S:Marketing Assistant	S:Heerstr. 22	S:Leipzig	~N~	S:04179	S:Germany	S:0342-023176	~N~
S:NORTS	S:North/South	S:Simon Crowther	S:Sales Associate	S:South House 300 Queensbridge	S:London	~N~	S:SW7 1RZ	S:UK	S:(171) 555-7733	S:(171) 555-2530
S:OCEAN	S:Océano Atlántico Ltda.	S:Yvonne Moncada	S:Sales Agent	S:Ing. Gustavo Moncada 8585 Piso 20-A	S:Buenos Aires	~N~	S:1010	S:Argentina	S:(1) 135-5333	S:(1) 135-5535
S:OLDWO	S:Old World Delicatessen	S:Rene Phillips	S:Sales Representative	S:2743 Bering St.	S:Anchorage	S:AK	S:99508	S:USA	S:(907) 555-7584	S:(907) 555-2880
S:OTTIK	S:Ottilies Käseladen	S:Henriette Pfalzheim	S:Owner	S:Mehrheimerstr. 369	S:Köln	~N~	S:50739	S:Germany	S:0221-0644327	S:0221-0765721
S:PARIS	S:Paris spécialités	S:Marie Bertrand	S:Owner	S:265, boulevard Charonne	S:Paris	~N~	S:75012	S:France	S:(1) 42.34.22.66	S:(1) 42.34.22.77
S:PERIC	S:Pericles Comidas clásicas	S:Guillermo Fernández	S:Sales Representative	S:Calle Dr. Jorge Cash 321	S:México D.F.	~N~	S:05033	S:Mexico	S:(5) 552-3745	S:(5) 545-3745
S:PICCO	S:Piccolo und mehr	S:Georg Pipps	S:Sales Manager	S:Geislweg 14	S:Salzburg	~N~	S:5020	S:Austria	S:6562-9722	S:6562-9723
S:PRINI	S:Princesa Isabel Vinhos	S:Isabel de Castro	S:Sales Representative	S:Estrada da saúde n. 58	S:Lisboa	~N~	S:1756	S:Portugal	S:(1) 356-5634	~N~
S:QUEDE	S:Que Delícia	S:Bernardo Batista	S:Accounting Manager	S:Rua da Panificadora, 12	S:Rio de Janeiro	S:RJ	S:02389-673	S:Brazil	S:(21) 555-4252	S:(21) 555-4545
S:QUEEN	S:Queen Cozinha	S:Lúcia Carvalho	S:Marketing Assistant	S:Alameda dos Canàrios, 891	S:Sao Paulo	S:SP	S:05487-020	S:Brazil	S:(11) 555-1189	~N~
S:QUICK	S:QUICK-Stop	S:Horst Kloss	S:Accounting Manager	S:Taucherstraße 10	S:Cunewalde	~N~	S:01307	S:Germany	S:0372-035188	~N~
S:RANCH	S:Rancho grande	S:Sergio Gutiérrez	S:Sales Representative	S:Av. del Libertador 900	S:Buenos Aires	~N~	S:1010	S:Argentina	S:(1) 123-5555	S:(1) 123-5556
S:RATTC	S:Rattlesnake Canyon Grocery	S:Paula Wilson	S:Assistant Sales Representative	S:2817 Milton Dr.	S:Albuquerque	S:NM	S:87110	S:USA	S:(505) 555-5939	S:(505) 555-3620
S:REGGC	S:Reggiani Caseifici	S:Maurizio Moroni	S:Sales Associate	S:Strada Provinciale 124	S:Reggio Emilia	~N~	S:42100	S:Italy	S:0522-556721	S:0522-556722
S:RICAR	S:Ricardo Adocicados	S:Janete Limeira	S:Assistant Sales Agent	S:Av. Copacabana, 267	S:Rio de Janeiro	S:RJ	S:02389-890	S:Brazil	S:(21) 555-3412	~N~
S:RICSU	S:Richter Supermarkt	S:Michael Holz	S:Sales Manager	S:Grenzacherweg 237	S:Genève	~N~	S:1203	S:Switzerland	S:0897-034214	~N~
S:ROMEY	S:Romero y tomillo	S:Alejandra Camino	S:Accounting Manager	S:Gran Vía, 1	S:Madrid	~N~	S:28001	S:Spain	S:(91) 745 6200	S:(91) 745 6210
S:SANTG	S:Santé Gourmet	S:Jonas Bergulfsen	S:Owner	S:Erling Skakkes gate 78	S:Stavern	~N~	S:4110	S:Norway	S:07-98 92 35	S:07-98 92 47
S:SAVEA	S:Save-a-lot Markets	S:Jose Pavarotti	S:Sales Representative	S:187 Suffolk Ln.	S:Boise	S:ID	S:83720	S:USA	S:(208) 555-8097	~N~
S:SEVES	S:Seven Seas Imports	S:Hari Kumar	S:Sales Manager	S:90 Wadhurst Rd.	S:London	~N~	S:OX15 4NB	S:UK	S:(171) 555-1717	S:(171) 555-5646
S:SIMOB	S:Simons bistro	S:Jytte Petersen	S:Owner	S:Vinbæltet 34	S:Kobenhavn	~N~	S:1734	S:Denmark	S:31 12 34 56	S:31 13 35 57
S:SPECD	S:Spécialités du monde	S:Dominique Perrier	S:Marketing Manager	S:25, rue Lauriston	S:Paris	~N~	S:75016	S:France	S:(1) 47.55.60.10	S:(1) 47.55.60.20
S:SPLIR	S:Split Rail Beer & Ale	S:Art Braunschweiger	S:Sales Manager	S:P.O. Box 555	S:Lander	S:WY	S:82520	S:USA	S:(307) 555-4680	S:(307) 555-6525
S:SUPRD	S:Suprêmes délices	S:Pascale Cartrain	S:Accounting Manager	S:Boulevard Tirou, 255	S:Charleroi	~N~	S:B-6000	S:Belgium	S:(071) 23 67 22 20	S:(071) 23 67 22 21
S:THEBI	S:The Big Cheese	S:Liz Nixon	S:Marketing Manager	S:89 Jefferson Way Suite 2	S:Portland	S:OR	S:97201	S:USA	S:(503) 555-3612	~N~
S:THECR	S:The Cracker Box	S:Liu Wong	S:Marketing Assistant	S:55 Grizzly Peak Rd.	S:Butte	S:MT	S:59801	S:USA	S:(406) 555-5834	S:(406) 555-8083
S:TOMSP	S:Toms Spezialitäten	S:Karin Josephs	S:Marketing Manager	S:Luisenstr. 48	S:Münster	~N~	S:44087	S:Germany	S:0251-031259	S:0251-035695
S:TORTU	S:Tortuga Restaurante	S:Miguel Angel Paolino	S:Owner	S:Avda. Azteca 123	S:México D.F.	~N~	S:05033	S:Mexico	S:(5) 555-2933	~N~
S:TRADH	S:Tradição Hipermercados	S:Anabela Domingues	S:Sales Representative	S:Av. Inês de Castro, 414	S:Sao Paulo	S:SP	S:05634-030	S:Brazil	S:(11) 555-2167	S:(11) 555-2168
S:TRAIH	S:Trail's Head Gourmet Provisioners	S:Helvetius Nagy	S:Sales Associate	S:722 DaVinci Blvd.	S:Kirkland	S:WA	S:98034	S:USA	S:(206) 555-8257	S:(206) 555-2174
S:VAFFE	S:Vaffeljernet	S:Palle Ibsen	S:Sales Manager	S:Smagsloget 45	S:Århus	~N~	S:8200	S:Denmark	S:86 21 32 43	S:86 22 33 44
S:VICTE	S:Victuailles en stock	S:Mary Saveley	S:Sales Agent	S:2, rue du Commerce	S:Lyon	~N~	S:69004	S:France	S:78.32.54.86	S:78.32.54.87
S:VINET	S:Vins et alcools Chevalier	S:Paul Henriot	S:Accounting Manager	S:59 rue de l'Abbaye	S:Reims	~N~	S:51100	S:France	S:26.47.15.10	S:26.47.15.11
S:WANDK	S:Die Wandernde Kuh	S:Rita Müller	S:Sales Representative	S:Adenauerallee 900	S:Stuttgart	~N~	S:70563	S:Germany	S:0711-020361	S:0711-035428
S:WARTH	S:Wartian Herkku	S:Pirkko Koskitalo	S:Accounting Manager	S:Torikatu 38	S:Oulu	~N~	S:90110	S:Finland	S:981-443655	S:981-443655
S:WELLI	S:Wellington Importadora	S:Paula Parente	S:Sales Manager	S:Rua do Mercado, 12	S:Resende	S:SP	S:08737-363	S:Brazil	S:(14) 555-8122	~N~
S:WHITC	S:White Clover Markets	S:Karl Jablonski	S:Owner	S:305 - 14th Ave. S. Suite 3B	S:Seattle	S:WA	S:98128	S:USA	S:(206) 555-4112	S:(206) 555-4115
S:WILMK	S:Wilman Kala	S:Matti Karttunen	S:Owner/Marketing Assistant	S:Keskuskatu 45	S:Helsinki	~N~	S:21240	S:Finland	S:90-224 8858	S:90-224 8858
S:WOLZA	S:Wolski  Zajazd	S:Zbyszek Piestrzeniewicz	S:Owner	S:ul. Filtrowa 68	S:Warszawa	~N~	S:01-012	S:Poland	S:(26) 642-7012	S:(26) 642-7012
